,Place,Team,Prize money
0,1st,OG,"$15,620,181"
1,2nd,Team Liquid,"$4,462,909"
2,3rd,PSG.LGD,"$3,089,706"
3,4th,Team Secret,"$2,059,804"
4,5th–6th,Evil Geniuses,"$1,201,552"
5,5th–6th,Vici Gaming,"$1,201,552"
6,7th–8th,Infamous,"$858,252"
7,7th–8th,Royal Never Give Up,"$858,252"
8,9th–12th,Mineski,"$686,601"
9,9th–12th,Newbee,"$686,601"
10,9th–12th,TNC Predator,"$686,601"
11,9th–12th,Virtus.pro,"$686,601"
12,13th–16th,Alliance,"$514,951"
13,13th–16th,Fnatic,"$514,951"
14,13th–16th,Keen Gaming,"$514,951"
15,13th–16th,Natus Vincere,"$514,951"
16,17th–18th,Chaos Esports Club,"$85,825"
17,17th–18th,Ninjas in Pyjamas,"$85,825"
