,Team Name,Final Position,Prize Pool
0,Team Spirit,Champions,"$1,521,362"
1,Gaimin Gladiators,1st Runner Up,"$405,637"
2,LGD Gaming,2nd Runner Up,"$270,499"
3,Azure Ray,3rd Runner Up,"$185,898"
4,Team Liquid,5th-6th,"$109,925"
5,BetBoom Team,5th-6th,"$109,925"
6,nouns,7th-8th,"$84,489"
7,Virtus.pro,7th-8th,"$84,489"
8,TSM,9th-12th,"$67,569"
9,9Pandas,9th-12th,"$67,569"
10,Talon Esports,9th-12th,"$67,569"
11,Entity,9th-12th,"$67,569"
12,Shopify Rebellion,13th-16th,"$50,761"
13,Evil Geniuses,13th-16th,"$50,761"
14,Keyd Stars,13th-16th,"$50,761"
15,Tundra Esports,13th-16th,"$50,761"
16,Team SMG,17th-20th,"$33,840"
17,Thunder Awaken,17th-20th,"$33,840"
18,beastcoast,17th-20th,"$33,840"
19,PSG Quest,17th-20th,"$33,840"
