,Nation/Region,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024,Total Ap.
0,China,19,23,23,21,27,21,22,27,18,22,12,9,11,255
1,Russia,7,8,5,2,5,2,5,7,5,7,13,19,17,101
2,Malaysia,5,6,13,12,6,5,4,4,5,4,3,4,6,77
3,United States,2,7,8,10,5,6,4,7,5,4,4,5,3,70
4,Sweden,2,4,7,9,2,8,3,4,6,4,4,4,3,60
5,Ukraine,3,6,4,6,9,4,5,4,3,2,4,4,4,58
6,Philippines,5,-,-,-,-,5,11,8,9,5,8,3,1,55
7,Peru,-,-,-,-,-,-,5,-,4,10,13,15,7,54
8,Germany,3,3,6,5,2,4,3,2,4,-,4,3,2,41
9,Denmark,9,3,3,2,2,4,2,3,4,2,2,2,2,40
10,Canada,1,4,4,6,4,3,4,2,1,3,3,2,-,37
11,Brazil,-,-,-,-,-,-,-,4,-,6,3,6,3,22
12,Singapore,5,4,3,1,2,1,-,1,1,2,-,-,1,21
13,South Korea,-,-,-,-,7,5,5,-,1,1,1,-,-,20
14,Thailand,5,-,-,-,-,-,-,1,1,2,3,3,3,18
15,Finland,-,-,1,1,1,2,2,3,3,2,1,-,1,17
16,Israel,-,-,1,1,1,1,2,2,2,1,2,2,2,17
17,Australia,-,4,-,-,1,1,2,2,2,-,1,-,-,13
18,France,5,3,-,-,-,-,-,1,1,1,-,-,-,13
19,Estonia,1,1,1,1,1,1,1,1,1,1,1,-,-,11
20,Jordan,-,-,-,-,-,2,2,2,2,1,1,-,1,11
21,Indonesia,-,-,-,-,-,-,-,-,-,2,3,2,3,10
22,Belarus,-,-,-,-,1,-,1,-,-,1,1,3,2,9
23,Bulgaria,-,-,-,-,-,1,1,1,2,1,1,1,-,8
24,Macau,1,1,1,1,1,1,1,1,-,-,-,-,-,8
25,Czech Republic,3,-,-,-,-,-,-,-,-,1,2,1,-,6
26,Netherlands,-,2,-,1,-,-,-,-,-,-,2,1,1,6
27,North Macedonia,-,-,-,-,-,1,-,-,1,1,1,1,1,6
28,Romania,1,-,-,1,1,1,-,1,1,-,-,-,-,6
29,Pakistan,-,-,-,-,1,1,1,1,1,1,-,-,-,6
30,Lebanon,-,-,-,-,-,-,1,1,1,-,-,2,-,5
31,Poland,-,-,-,-,-,-,-,-,1,1,1,1,1,5
32,Slovakia,2,-,-,-,-,-,-,-,-,-,1,1,1,5
33,Bolivia,-,-,-,-,-,-,-,-,1,1,1,1,-,4
34,Kazakhstan,-,-,-,-,-,-,-,-,-,-,-,2,1,3
35,Kyrgyzstan,-,-,-,-,-,-,-,-,2,-,1,-,-,3
36,Moldova,-,-,-,-,-,-,-,-,-,1,-,1,1,3
37,Austria,-,-,-,-,-,-,-,-,-,-,1,1,-,2
38,Croatia,1,1,-,-,-,-,-,-,-,-,-,-,-,2
39,Bosnia & Herzegovina,-,-,-,-,-,-,1,-,1,-,-,-,-,2
40,Norway,-,-,-,-,-,-,-,-,1,-,1,-,-,2
41,Belgium,-,-,-,-,-,-,-,-,-,-,-,-,1,1
42,Greece,-,-,-,-,-,-,1,-,-,-,-,-,-,1
43,Laos,-,-,-,-,-,-,-,-,-,-,1,-,-,1
44,Mexico,-,-,-,-,1,-,-,-,-,-,-,-,-,1
45,Nicaragua,-,-,-,-,-,-,-,-,-,-,-,-,1,1
46,Serbia,-,-,-,-,-,-,1,-,-,-,-,-,-,1
47,United Kingdom,-,-,-,-,-,-,-,-,-,-,-,1,-,1
