,Country,No. of Players,Players
0,China,23,"Banana,BurNIng,DD,Faith,Ferrari_430,Hao,Icy,Kabu,KingJ,LaNm,Luo,MMY!,Mu,QQQ,rOtk,Sag,SanSheng,Sylar,Super,xiao8,Yao,YYF,Zhou"
1,Malaysia,13,"ChuaN,dabeliuteef,FzFz,Ice,Net,Ling,Mushi,kYxY,Ohaiyo,TooFuckingGood,XtiNcT,YamateH,WinteR"
2,United States,8,"Brax,BuLba,FLUFFNSTUFF,Fogged,ixmike88,Korok,Sneyking,UNiVeRsE"
3,Sweden,7,"AdmiralBulldog,Akke,EGM,Era,Loda,s4,Pajkatt"
4,Germany,6,"Black^,FATA-,H4nn1,KuroKy,paS,qojqva"
5,Russia,6,"ARS-ART,Crazy,God,Illidan,NS,Silent"
6,Ukraine,5,"Dendi,Funn1k,Goblak,KSi,XBOCT"
7,Canada,4,"1437,Aui_2000,TC,Waytosexy"
8,Singapore,3,"iceiceice,xFreedom,xy-"
9,France,3,"7ckngMad,Funzii,Sockshka"
10,Denmark,3,"BigDaddy,MiSeRY,syndereN"
11,Finland,1,Trixi
12,Israel,1,Fly
13,Estonia,1,Puppey
14,Macau,1,DDC
