,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Round 1, TongFu,2, Ice,0
1,Upper Bracket Round 1, Mineski,0, MiTH,2
2,Upper Bracket Round 1, AEONSports,2, MSI-EvoGT,1
3,Upper Bracket Round 1, World Elite,0, Duskbin,2
4,Upper Bracket Round 2, TongFu,2, MiTH,1
5,Upper Bracket Round 2, AEONSports,2, Duskbin,0
6,Upper Bracket Final, TongFu,2, AEONSports,0
7,Lower Bracket Round 1, Ice,2, Mineski,1
8,Lower Bracket Round 1, MSI-EvoGT,0, World Elite,2
9,Lower Bracket Round 2, Duskbin,2, Ice,1
10,Lower Bracket Round 2, MiTH,0, World Elite,2
11,Lower Bracket Round 3, Duskbin,1, World Elite,2
12,Lower Bracket Final, AEONSports,1, World Elite,2
13,Grand Final, TongFu,3, World Elite,0
