,Team1,Score1,Team2,Score2
0,Na`Vi,0,iG,2
1,coL,1,EHOME,1
2,Orange,1,Darer,1
3,mTw,1,TongFu,1
4,Na`Vi,1,coL,1
5,EHOME,1,iG,1
6,Orange,2,mTw,0
7,Darer,0,TongFu,2
8,Na`Vi,1,EHOME,1
9,iG,2,coL,0
10,Orange,1,TongFu,1
11,Darer,1,mTw,1
12,Na`Vi,0,Orange,2
13,iG,2,Darer,0
14,coL,1,mTw,1
15,EHOME,0,TongFu,2
16,Na`Vi,2,Darer,0
17,coL,2,TongFu,0
18,Na`Vi,2,mTw,0
19,iG,2,Orange,0
20,coL,2,Orange,0
21,EHOME,1,Darer,1
22,iG,2,TongFu,0
23,EHOME,2,mTw,0
24,coL,2,Darer,0
25,Na`Vi,2,TongFu,0
26,iG,2,mTw,0
27,EHOME,0,Orange,2
