,Round,Team1,Score1,Team2,Score2
0,Upper Bracket R1 (Bo1), EHOME,1, TYLOO,0
1,Upper Bracket R1 (Bo1), Meet Your Makers,0, Scythe Gaming,1
2,Upper Bracket R1 (Bo1), OK.Nirvana.int,0, Invictus Gaming,1
3,Upper Bracket R1 (Bo1), Natus Vincere,1, Moscow Five,0
4,Upper Bracket R2 (Bo1), EHOME,0, Scythe Gaming,1
5,Upper Bracket R2 (Bo1), Invictus Gaming,0, Natus Vincere,1
6,Upper Bracket Final (Bo3), Scythe Gaming,0, Natus Vincere,2
7,Lower Bracket R1 (Bo1), Storm Games Clan,0, Virus Gaming,1
8,Lower Bracket R1 (Bo1), MiTH,1, GosuGamers,0
9,Lower Bracket R1 (Bo1), OK.Nirvana.cn,0, Mineski,1
10,Lower Bracket R1 (Bo1), Next Evolution,0, MUFC,1
11,Lower Bracket R2 (Bo1), Meet Your Makers,1, Virus Gaming,0
12,Lower Bracket R2 (Bo1), TYLOO,0, MiTH,1
13,Lower Bracket R2 (Bo1), Moscow Five,1, Mineski,0
14,Lower Bracket R2 (Bo1), OK.Nirvana.int,1, MUFC,0
15,Lower Bracket R3 (Bo1), Meet Your Makers,1, MiTH,0
16,Lower Bracket R3 (Bo1), Moscow Five,1, OK.Nirvana.int,0
17,Lower Bracket R4 (Bo1), Invictus Gaming,0, Meet Your Makers,1
18,Lower Bracket R4 (Bo1), EHOME,1, Moscow Five,0
19,Lower Bracket R5 (Bo3), Meet Your Makers,0, EHOME,2
20,Lower Bracket Final (Bo3), Scythe Gaming,1, EHOME,2
21,Grand Final (Bo5), Natus Vincere,3, EHOME,1
