,Round,Team1,Result1,Team2,Result2
0,Upper Bracket R1 (Bo3), LGD Gaming,2, Orange Esports,0
1,Upper Bracket R1 (Bo3), compLexity,1, Team Zenith,2
2,Upper Bracket R1 (Bo3), Invictus Gaming,2, Evil Geniuses,1
3,Upper Bracket R1 (Bo3), Team DK,1, Natus Vincere,2
4,Upper Bracket R2 (Bo3), LGD Gaming,2, Team Zenith,0
5,Upper Bracket R2 (Bo3), Invictus Gaming,1, Natus Vincere,2
6,Upper Bracket Final (Bo3), LGD Gaming,1, Natus Vincere,2
7,Lower Bracket R1 (Bo1), CLG,1, Mortal Teamwork,0
8,Lower Bracket R1 (Bo1), mousesports,0, EHOME,1
9,Lower Bracket R1 (Bo1), TongFu,1, Moscow Five,0
10,Lower Bracket R1 (Bo1), Darer,1, Absolute Legends,0
11,Lower Bracket R2 (Bo1), Orange Esports,1, CLG,0
12,Lower Bracket R2 (Bo1), compLexity,0, EHOME,1
13,Lower Bracket R2 (Bo1), Evil Geniuses,0, TongFu,1
14,Lower Bracket R2 (Bo1), Team DK,1, Darer,0
15,Lower Bracket R3 (Bo1), Orange Esports,0, EHOME,1
16,Lower Bracket R3 (Bo1), TongFu,0, Team DK,1
17,Lower Bracket R4 (Bo1), Invictus Gaming,1, EHOME,0
18,Lower Bracket R4 (Bo1), Team Zenith,0, Team DK,1
19,Lower Bracket R5 (Bo3), Invictus Gaming,2, Team DK,1
20,Lower Bracket Final (Bo3), LGD Gaming,1, Invictus Gaming,2
21,Grand Final (Bo5), Natus Vincere,1, Invictus Gaming,3
