,Place,Price,PricePoolPercent,Team Name
0,1st,"$1,000,000",62.5%,Natus Vincere
1,2nd,"$250,000",15.625%,EHOME
2,3rd,"$150,000",9.375%,Scythe Gaming
3,4th,"$80,000",5%,Meet Your Makers
4,5th-6th,"$35,000",2.1875%,Moscow Five
5,5th-6th,"$35,000",2.1875%,Invictus Gaming
6,7th-8th,"$25,000",1.5625%,Nirvana.int
7,7th-8th,"$25,000",1.5625%,Made in Thailand
8,9th-12th,-,-,Virus Gaming
9,9th-12th,-,-,TYLOO
10,9th-12th,-,-,Mineski
11,9th-12th,-,-,MUFC
12,13th-16th,-,-,Storm Games Clan
13,13th-16th,-,-,GosuGamers
14,13th-16th,-,-,OK.Nirvana.cn
15,13th-16th,-,-,Next Evolution
