,Round,Team1,Score1,Team2,Score2
0,Upper Bracket R1 (Bo3), OG,1, MVP Phoenix,2
1,Upper Bracket R1 (Bo3), Digital Chaos,1, Wings Gaming,2
2,Upper Bracket R1 (Bo3), EHOME,2, Alliance,0
3,Upper Bracket R1 (Bo3), Evil Geniuses,2, Newbee,0
4,Upper Bracket R2 (Bo3), MVP Phoenix,0, Wings Gaming,2
5,Upper Bracket R2 (Bo3), EHOME,0, Evil Geniuses,2
6,Upper Bracket Final (Bo3), Wings Gaming,2, Evil Geniuses,0
7,Lower Bracket R1 (Bo1), TNC Pro Team,1, VG.Reborn,0
8,Lower Bracket R1 (Bo1), Team Secret,0, LGD Gaming,1
9,Lower Bracket R1 (Bo1), Fnatic,1, Escape Gaming,0
10,Lower Bracket R1 (Bo1), Natus Vincere,0, Team Liquid,1
11,Lower Bracket R2 (Bo3), OG,0, TNC Pro Team,2
12,Lower Bracket R2 (Bo3), Digital Chaos,2, LGD Gaming,0
13,Lower Bracket R2 (Bo3), Alliance,0, Fnatic,2
14,Lower Bracket R2 (Bo3), Newbee,1, Team Liquid,2
15,Lower Bracket R3 (Bo3), TNC Pro Team,1, Digital Chaos,2
16,Lower Bracket R3 (Bo3), Fnatic,2, Team Liquid,0
17,Lower Bracket R4 (Bo3), EHOME,0, Digital Chaos,2
18,Lower Bracket R4 (Bo3), MVP Phoenix,0, Fnatic,2
19,Lower Bracket R5 (Bo3), Digital Chaos,2, Fnatic,0
20,Lower Bracket Final (Bo3), Evil Geniuses,1, Digital Chaos,2
21,Grand Final (Bo5), Wings Gaming,3, Digital Chaos,1
