,Place,$USD,Pcnt,Team
1,1st,"$9,139,002",44%,Wings Gaming
2,2nd,"$3,427,126",16.5%,Digital Chaos
3,3rd,"$2,180,898",10.5%,Evil Geniuses
4,4th,"$1,453,932",7%,Fnatic
5,5th-6th,"$934,761",4.5%,EHOME
6,5th-6th,"$934,761",4.5%,MVP Phoenix
7,7th-8th,"$519,262",2.5%,TNC Pro Team
8,7th-8th,"$519,262",2.5%,Team Liquid
9,9th-12th,"$311,557",1.5%,OG
10,9th-12th,"$311,557",1.5%,LGD Gaming
11,9th-12th,"$311,557",1.5%,Alliance
12,9th-12th,"$311,557",1.5%,Newbee
13,13th-16th,"$103,852",0.5%,VG.Reborn
14,13th-16th,"$103,852",0.5%,Team Secret
15,13th-16th,"$103,852",0.5%,Escape Gaming
16,13th-16th,"$103,852",0.5%,Natus Vincere
