,Country,No. of Players,Players
0,China,27,"Agressif,Ame,BoBoKa,Chalice,eLeVeN,Fade,Faith,Fenrir,fy,Freeze,LaNm,Moogy,Kaka,Ori,Paparazi灬,Pyw,Q,Sccc,Somnus丶M,Srf,Sylar,XCJ,XinQ,Xxs,Yang,zhizhizhi,Zyd"
1,Philippines,8,"Abed,Armel,DJ,Kuku,ninjaboogie,Raven,Sam_H,Tims"
2,Russia,7,"9pasha,Nofear,nongrata,RAMZES666,RodjER,Silent,Solo"
3,United States,6,"CCnC,MSS,ppd,Sneyking,SVG,UNiVeRsE"
4,Malaysia,4,"MidOne,Moon,Mushi,xNova"
5,Brazil,4,"Duster,hFn,Kingrd,tavo"
6,Sweden,4,"Pajkatt,pieliedie,s4,zai"
7,Ukraine,4,"ALWAYSWANNAFLY,Iceberg,No[o]ne,Resolut1on"
8,Denmark,3,"Ace,Cr1t-,N0tail"
9,Finland,3,"JerAx,MATUMBAMAN,Topson"
10,Germany,2,"Fata,KuroKy"
11,Jordan,2,"Miracle-,YapzOr"
12,Pakistan,2,"Suma1L,YawaR"
13,Australia,2,"ana,kpii"
14,Canada,2,"Arteezy,EternaLEnVy"
15,Israel,2,"33,Fly"
16,Bulgaria,1,MinD_ContRoL
17,Estonia,1,Puppey
18,France,1,7ckngMad
19,Macau,1,ddc
20,Lebanon,1,GH
21,Romania,1,w33
22,Singapore,1,iceiceice
23,Thailand,1,Jabz
