,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Round 1 (Bo3), Elephant,2, Team MagMa,0
1,Upper Bracket Round 1 (Bo3), LBZS,0, Royal Never Give Up,2
2,Upper Bracket Round 1 (Bo3), Phoenix Gaming,1, Sparking Arrow,2
3,Upper Bracket Round 1 (Bo3), Aster.Aries,0, EHOME,2
4,Upper Bracket Round 2 (Bo3), Elephant,2, Royal Never Give Up,1
5,Upper Bracket Round 2 (Bo3), Sparking Arrow,0, EHOME,2
6,Upper Bracket Final (Bo3), Elephant,1, EHOME,2
7,Lower Bracket Round 1 (Bo3), Team MagMa,2, CDEC,1
8,Lower Bracket Round 1 (Bo3), LBZS,W, BYE,-
9,Lower Bracket Round 1 (Bo3), Phoenix Gaming,W, BYE,-
10,Lower Bracket Round 1 (Bo3), Aster.Aries,2, Xtreme Gaming,0
11,Lower Bracket Round 2 (Bo3), Team MagMa,2, LBZS,0
12,Lower Bracket Round 2 (Bo3), Phoenix Gaming,1, Aster.Aries,2
13,Lower Bracket Round 3 (Bo3), Sparking Arrow,0, Team MagMa,2
14,Lower Bracket Round 3 (Bo3), Royal Never Give Up,2, Aster.Aries,0
15,Lower Bracket Round 4 (Bo3), Team MagMa,2, Royal Never Give Up,1
16,Lower Bracket Final (Bo3), Elephant,2, Team MagMa,0
17,Grand Final (Bo5), EHOME,1, Elephant,3
