,Country,Representation,Players
0,China,22 / 90 (24%),"Ame,Borax,Dy,Emo,Eurus,Faith_bian,flyfly,fy,Kaka,LaNm,Monet,old eLeVeN,Ori,poyoyo,Pyw,Somnus丶M,Super,White丶Album_白学家,XinQ,Xxs,y`,Yang"
1,Peru,10 / 90 (11%),"Chris Luck,Frank,K1,Leostyle-,Mjz,Mnz,MoOz,Scofield,Stinger,Timado"
2,Russia,7 / 90 (8%),"Collapse,DM,gpk,Kingslayer,Miposhka,Nightfall,TORONTOTOKYO"
3,Brazil,6 / 90 (7%),"4dr,Costabile,KJ,Lelis,Tavo,Thiolicor"
4,Philippines,5 / 90 (6%),"Abed,DJ,Karl,Kuku,Raven"
5,Malaysia,4 / 90 (4%),"ChYuan,JT-,NothingToSay,Oli"
6,Sweden,4 / 90 (4%),"Handsken,LIMMP,s4,zai"
7,United States,4 / 90 (4%),"MSS,Quinn,SVG,YawaR"
8,Canada,3 / 90 (3%),"Arteezy,Bryle,MoonMeander"
9,Denmark,2 / 90 (2%),"Cr1t-,N0tail"
10,Finland,2 / 90 (2%),"MATUMBAMAN,Topson"
11,Indonesia,2 / 90 (2%),"Whitemon,Xepher"
12,Singapore,2 / 90 (2%),"Deth,iceiceice"
13,Thailand,2 / 90 (2%),"23savage,Jabz"
14,Ukraine,2 / 90 (2%),"Mira,Yatoro"
15,Belarus,1 / 90 (1%),fng
16,Bolivia,1 / 90 (1%),Wisper
17,Bulgaria,1 / 90 (1%),Nikobaby
18,Czechia,1 / 90 (1%),SabeRLight-
19,Estonia,1 / 90 (1%),Puppey
20,France,1 / 90 (1%),Ceb
21,Israel,1 / 90 (1%),Fly
22,Jordan,1 / 90 (1%),YapzOr
23,Moldova,1 / 90 (1%),Save-
24,North Macedonia,1 / 90 (1%),Saksa
25,Pakistan,1 / 90 (1%),SumaiL
26,Poland,1 / 90 (1%),Nisha
27,South Korea,1 / 90 (1%),Dubu
