,Round,Team1,Score1,Team2,Score2
0,Upper Bracket R1 (Bo3), Team Spirit,2, Winstrike Team,0
1,Upper Bracket R1 (Bo3), PuckChamp,2, Team Unique,0
2,Upper Bracket R1 (Bo3), Natus Vincere,2, EXTREMUM,0
3,Upper Bracket R1 (Bo3), HellRaisers,2, AS Monaco Gambit,1
4,Upper Bracket R2 (Bo3), Team Spirit,2, PuckChamp,0
5,Upper Bracket R2 (Bo3), Natus Vincere,1, HellRaisers,2
6,Upper Bracket Final (Bo3), Team Spirit,2, HellRaisers,1
7,Lower Bracket R1 (Bo3), Team Empire,W, BYE,-
8,Lower Bracket R1 (Bo3), NoTechies,0, B8,2
9,Lower Bracket R1 (Bo3), Nemiga Gaming,2, Trident Clan,0
10,Lower Bracket R1 (Bo3), BYE,-, Fantastic Five,W
11,Lower Bracket R2 (Bo3), Winstrike Team,0, Team Empire,2
12,Lower Bracket R2 (Bo3), Team Unique,2, B8,1
13,Lower Bracket R2 (Bo3), EXTREMUM,1, Nemiga Gaming,2
14,Lower Bracket R2 (Bo3), AS Monaco Gambit,1, Fantastic Five,2
15,Lower Bracket R3 (Bo3), Team Empire,2, Team Unique,1
16,Lower Bracket R3 (Bo3), Nemiga Gaming,2, Fantastic Five,1
17,Lower Bracket R4 (Bo3), Natus Vincere,1, Team Empire,2
18,Lower Bracket R4 (Bo3), PuckChamp,2, Nemiga Gaming,1
19,Lower Bracket R5 (Bo3), Team Empire,2, PuckChamp,1
20,Lower Bracket Final (Bo3), HellRaisers,1, Team Empire,2
21,Grand Final (Bo5), Team Spirit,3, Team Empire,2
