,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Round 1 (Bo3), Undying,2, The Cut,0
1,Upper Bracket Round 1 (Bo3), Black N Yellow,2, bumble bEE's,0
2,Upper Bracket Round 1 (Bo3), simply TOOBASED,2, D2 Hustlers,1
3,Upper Bracket Round 1 (Bo3), Arkosh Gaming,1, 4 Zoomers,2
4,Upper Bracket Round 2 (Bo3), Undying,2, Black N Yellow,0
5,Upper Bracket Round 2 (Bo3), simply TOOBASED,1, 4 Zoomers,2
6,Upper Bracket Final (Bo3), Undying,2, 4 Zoomers,0
7,Lower Bracket Round 1 (Bo3), The Cut,1, Team DogChamp,2
8,Lower Bracket Round 1 (Bo3), bumble bEE's,W, BYE,-
9,Lower Bracket Round 1 (Bo3), D2 Hustlers,2, 5ManMidas,0
10,Lower Bracket Round 1 (Bo3), Arkosh Gaming,2, felt,0
11,Lower Bracket Round 2 (Bo3), Team DogChamp,0, bumble bEE's,2
12,Lower Bracket Round 2 (Bo3), D2 Hustlers,0, Arkosh Gaming,2
13,Lower Bracket Round 3 (Bo3), simply TOOBASED,1, bumble bEE's,2
14,Lower Bracket Round 3 (Bo3), Black N Yellow,2, Arkosh Gaming,0
15,Lower Bracket Round 4 (Bo3), bumble bEE's,2, Black N Yellow,1
16,Lower Bracket Final (Bo3), 4 Zoomers,2, bumble bEE's,1
17,Grand Final (Bo5), Undying,3, 4 Zoomers,0
