,Place,$USD,Percent,Team
1,1st,"$18,208,300",45.5%,Team Spirit
2,2nd,"$5,202,400",13%,PSG.LGD
3,3rd,"$3,601,600",9%,Team Secret
4,4th,"$2,401,100",6%,Invictus Gaming
5,5th-6th,"$1,400,600",3.5%,Virtus.pro
6,5th-6th,"$1,400,600",3.5%,Vici Gaming
7,7th-8th,"$1,000,500",2.5%,OG
8,7th-8th,"$1,000,500",2.5%,T1
9,9th-12th,"$800,400",2%,Fnatic
10,9th-12th,"$800,400",2%,Quincy Crew
11,9th-12th,"$800,400",2%,Alliance
12,9th-12th,"$800,400",2%,Evil Geniuses
13,13th-16th,"$600,300",1.5%,Team Undying
14,13th-16th,"$600,300",1.5%,Team Aster
15,13th-16th,"$600,300",1.5%,beastcoast
16,13th-16th,"$600,300",1.5%,Elephant
17,17th-18th,"$100,000",0.25%,Thunder Predator
18,17th-18th,"$100,000",0.25%,SG esports
