,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Round 1 (Bo3), NoPing e-sports,1, Infinity,2
1,Upper Bracket Round 1 (Bo3), Unknown Team,2, Hokori,1
2,Upper Bracket Round 1 (Bo3), Infamous,1, EgoBoys,2
3,Upper Bracket Round 1 (Bo3), BINOMISTAS,1, SG esports,2
4,Upper Bracket Round 2 (Bo3), Infinity,2, Unknown Team,1
5,Upper Bracket Round 2 (Bo3), EgoBoys,0, SG esports,2
6,Upper Bracket Final (Bo3), Infinity,0, SG esports,2
7,Lower Bracket Round 1 (Bo3), NoPing e-sports,2, Interitus,0
8,Lower Bracket Round 1 (Bo3), Hokori,2, Latam Defenders,0
9,Lower Bracket Round 1 (Bo3), Infamous,2, Omega Gaming,0
10,Lower Bracket Round 1 (Bo3), BINOMISTAS,2, Inverse,0
11,Lower Bracket Round 2 (Bo3), NoPing e-sports,2, Hokori,0
12,Lower Bracket Round 2 (Bo3), Infamous,1, BINOMISTAS,2
13,Lower Bracket Round 3 (Bo3), EgoBoys,0, NoPing e-sports,2
14,Lower Bracket Round 3 (Bo3), Unknown Team,2, BINOMISTAS,0
15,Lower Bracket Round 4 (Bo3), NoPing e-sports,1, Unknown Team,2
16,Lower Bracket Final (Bo3), Infinity,0, Unknown Team,2
17,Grand Final (Bo5), SG esports,3, Unknown Team,1
