,Round,Team1,Score1,Team2,Score2
0,Upper Bracket R1 (Bo3), TNC Predator,2, Team SMG,1
1,Upper Bracket R1 (Bo3), BOOM Esports,2, Execration,1
2,Upper Bracket R1 (Bo3), Fnatic,2, Omega Esports,1
3,Upper Bracket R1 (Bo3), Motivate.Trust,0, Neon Esports,2
4,Upper Bracket R2 (Bo3), TNC Predator,2, BOOM Esports,1
5,Upper Bracket R2 (Bo3), Fnatic,2, Neon Esports,1
6,Upper Bracket Final (Bo3), TNC Predator,0, Fnatic,2
7,Lower Bracket R1 (Bo3), Lilgun,W, BYE,-
8,Lower Bracket R1 (Bo3), Army Geniuses,0, 496 Gaming,2
9,Lower Bracket R1 (Bo3), Galaxy Racer,2, Team Mystery,0
10,Lower Bracket R1 (Bo3), Cignal Ultra,2, ex-South Built,0
11,Lower Bracket R2 (Bo3), Team SMG,2, Lilgun,0
12,Lower Bracket R2 (Bo3), Execration,2, 496 Gaming,1
13,Lower Bracket R2 (Bo3), Omega Esports,0, Galaxy Racer,2
14,Lower Bracket R2 (Bo3), Motivate.Trust,2, Cignal Ultra,0
15,Lower Bracket R3 (Bo3), Team SMG,1, Execration,2
16,Lower Bracket R3 (Bo3), Galaxy Racer,2, Motivate.Trust,0
17,Lower Bracket R4 (Bo3), Neon Esports,1, Execration,2
18,Lower Bracket R4 (Bo3), BOOM Esports,2, Galaxy Racer,1
19,Lower Bracket R5 (Bo3), Execration,0, BOOM Esports,2
20,Lower Bracket Final (Bo3), TNC Predator,2, BOOM Esports,1
21,Grand Final (Bo5), Fnatic,3, TNC Predator,2
