,Round,Team1,Score1,Team2,Score2
0,Upper Bracket R1 (Bo3), Team Nigma,2, Hellbear Smashers,1
1,Upper Bracket R1 (Bo3), Vikin.gg,1, OG,2
2,Upper Bracket R1 (Bo3), Tundra Esports,2, Brame,0
3,Upper Bracket R1 (Bo3), Spider Pigzs,1, Team Liquid,2
4,Upper Bracket R2 (Bo3), Team Nigma,1, OG,2
5,Upper Bracket R2 (Bo3), Tundra Esports,2, Team Liquid,0
6,Upper Bracket Final (Bo3), OG,0, Tundra Esports,2
7,Lower Bracket R1 (Bo3), Ghost Frogs,W, BYE,-
8,Lower Bracket R1 (Bo3), Chicken Fighters,2, No Bounty Hunter,0
9,Lower Bracket R1 (Bo3), Into The Breach,2, Hippomaniacs,0
10,Lower Bracket R1 (Bo3), BYE,-, Team Bald Reborn,W
11,Lower Bracket R2 (Bo3), Hellbear Smashers,2, Ghost Frogs,1
12,Lower Bracket R2 (Bo3), Vikin.gg,0, Chicken Fighters,2
13,Lower Bracket R2 (Bo3), Brame,1, Into The Breach,2
14,Lower Bracket R2 (Bo3), Spider Pigzs,2, Team Bald Reborn,1
15,Lower Bracket R3 (Bo3), Hellbear Smashers,0, Chicken Fighters,2
16,Lower Bracket R3 (Bo3), Into The Breach,1, Spider Pigzs,2
17,Lower Bracket R4 (Bo3), Team Liquid,2, Chicken Fighters,1
18,Lower Bracket R4 (Bo3), Team Nigma,2, Spider Pigzs,0
19,Lower Bracket R5 (Bo3), Team Liquid,1, Team Nigma,2
20,Lower Bracket Final (Bo3), OG,2, Team Nigma,1
21,Grand Final (Bo5), Tundra Esports,2, OG,3
