,Team,Total Wins,Total Losses,Win Percentage,Average Kills,Average Deaths,Kills/Deaths,% Played as Radiant
0,Natus Vincere,19,11,63.33%,21.13,17.03,1.24,93.33%
1,Orange Esports,16,12,57.14%,19.36,16.50,1.17,46.43%
2,TongFu,14,11,56.00%,19.64,18.80,1.04,40.00%
3,Fnatic.EU,10,8,55.56%,17.06,14.44,1.18,72.22%
4,Alliance,23,3,88.46%,22.69,14.46,1.57,19.23%
5,PSG.LGD,9,9,50.00%,18.50,17.33,1.07,27.78%
6,Team DK,14,9,60.87%,19.17,16.39,1.17,34.78%
7,Invictus Gaming,12,10,54.55%,17.09,16.77,1.02,63.64%
8,Team Dignitas,9,8,52.94%,14.94,14.88,1.00,58.82%
9,RattleSnake,3,12,20.00%,14.13,19.60,0.72,13.33%
10,LGD.int,6,10,37.50%,17.00,20.00,0.85,37.50%
11,mousesports,4,11,26.67%,13.47,22.13,0.61,73.33%
12,Team Liquid,9,8,52.94%,20.88,19.41,1.08,52.94%
13,MUFC,0,15,0.00%,8.80,22.87,0.38,33.33%
14,Team Zenith,7,9,43.75%,19.44,19.88,0.98,68.75%
15,Virtus.pro,3,12,20.00%,16.13,24.47,0.66,53.33%
