,Round,Team1,Score1,Team2,Score2
0,Upper Bracket Round 1, Mortal Teamwork,1, Virtus.pro,2
1,Upper Bracket Round 1, mousesports,2, Team Infused,1
2,Upper Bracket Round 1, Quantic Gaming,2, zNation,1
3,Upper Bracket Round 1, Keita Gaming,0, NEXT.kz,2
4,Upper Bracket Round 2, Virtus.pro,1, mousesports,2
5,Upper Bracket Round 2, Quantic Gaming,0, NEXT.kz,2
6,Upper Bracket Final, mousesports,0, NEXT.kz,2
7,Lower Bracket Round 1, Mortal Teamwork,2, Team Infused,0
8,Lower Bracket Round 1, zNation,2, Keita Gaming,0
9,Lower Bracket Round 2, Mortal Teamwork,2, Quantic Gaming,0
10,Lower Bracket Round 2, zNation,2, Virtus.pro,1
11,Lower Bracket Round 3, Mortal Teamwork,2, zNation,0
12,Lower Bracket Final, mousesports,0, Mortal Teamwork,2
13,Grand Final, NEXT.kz,1, Mortal Teamwork,3
