Place,Prize Money,Percentage,Team
1st,"$9,139,002 ",44.00%,Wings Gaming
2nd,"$3,427,126 ",16.50%,Digital Chaos
3rd,"$2,180,898 ",10.50%,Evil Geniuses
4th,"$1,453,932 ",7.00%,Fnatic
5th,"$934,761 ",4.50%,EHOME
6th,"$934,761 ",4.50%,MVP Phoenix
7th,"$519,262 ",2.50%,TNC Pro Team
8th,"$519,262 ",2.50%,Team Liquid
9th,"$311,557 ",1.50%,OG
10th,"$311,557 ",1.50%,LGD Gaming
11th,"$311,557 ",1.50%,Alliance
12th,"$311,557 ",1.50%,Newbee
13th,"$103,852 ",0.50%,VG.Reborn
14th,"$103,852 ",0.50%,Team Secret
15th,"$103,852 ",0.50%,Escape Gaming
16th,"$103,852 ",0.50%,Natus Vincere
