,#,Country / Region,Representation,Percentage,Players
0,1,China,19,24.00%,"820, Awoke, Banana, DD, Faith, Ferrari_430, Hao, insence, Kabu, ksssssss, LaNm, QQQ, SanSheng, seaking, SJQ, X!!, xiao8, Yao, Zhou"
1,2,Denmark,9,11.00%,"AngeL, eatenfish, Maelk, MaNia, miGGel, MiSeRy, PlaymatE, Ryze, syndereN"
2,3,Russia,7,9.00%,"Ars-Art, Azen, Dread, God, LighTofHeaveN, NS, Santa"
3,4,France,5,6.00%,"Maldejambes, Ph0eniX, Pseudo, Sockshka, VladTepes"
4,4,Malaysia,5,6.00%,"kYxY, Net, Sharky, SilverCross, xiaoling"
5,4,Philippines,5,6.00%,"John, Julz, Owa, VASH, Wootz"
6,4,Singapore,5,6.00%,"Chawy, Hyhy, Roy, ToFu, Xy-"
7,4,Thailand,5,6.00%,"aabBAA, l3nu, LaKelz, Lookball, TnK"
8,9,Czechia,3,4.00%,"CraNich, lacek, Tonci"
9,9,Germany,3,4.00%,"Kebap, Kev-, KuroKy"
10,9,Ukraine,3,4.00%,"Artstyle, Dendi, XBOCT"
11,12,Slovakia,2,3.00%,"Tulex, Warlog"
12,12,Sweden,2,3.00%,"Mirakel, Pajkatt"
13,12,United States,2,3.00%,"DeMoN, Fear"
14,15,Canada,1,1.00%,1437
15,15,Croatia,1,1.00%,Lacoste
16,15,Estonia,1,1.00%,Puppey
17,15,Macau,1,1.00%,DDC
18,15,Romania,1,1.00%,ComeWithMe
