Place,Prize Money,Percentage,Team
1st,"$1,437,190 ",50.00%,Alliance
2nd,"$632,364 ",22.00%,Natus Vincere
3rd,"$287,438 ",10.00%,Orange Esports
4th,"$201,207 ",7.00%,TongFu
5th,"$114,975 ",4.00%,Invictus Gaming
6th,"$114,975 ",4.00%,Team DK
7th,"$43,116 ",1.50%,Team Liquid
8th,"$43,116 ",1.50%,Fnactic
9th,$0 ,0.00%,Team Dignitas
10th,$0 ,0.00%,LGD International
11th,$0 ,0.00%,LGD Gaming
12th,$0 ,0.00%,Team Zenith
13th,$0 ,0.00%,RattleSnake
14th,$0 ,0.00%,mousesports
15th,$0 ,0.00%,MUFC
16th,$0 ,0.00%,Virtus.pro
