,Rank,Country or Region,Representation,Percentage,Players
0,1,China,24,25%,"Ayo, Banana, BurNIng, DD, Faith, Fenrir, Ferrari_430, fy, Hao, inflame, June, LaNm, Lin, Luo, MMY, Mu, Rabbit, rOtk, SanSheng, Super, Sylar, xiao8, Yao, YYF"
1,2,Malaysia,12,13%,"ChuaN, ddz, JoHnNy, kYxY, LaNcE, MoZuN, Mushi, Net, Ohaiyo, xiangzai, XtiNcT, YamateH"
2,3,United States,10,11%,"Brax, BuLba, DeMoN, Fogged, Korok, mason, MSS, ppd, Sneyking, UNiVeRsE"
3,4,Sweden,9,9%,"AdmiralBulldog, Akke, EGM, Era, Loda, Pajkatt, pieliedie, s4, zai"
4,5,Russia,7,7%,"ARS-ART, God, Illidan, JotM, NS, Silent, VANSKOR"
5,6,Canada,6,6%,"1437, Arteezy, Aui_2000, EternaLEnVy, TC, waytosexy"
6,6,Germany,6,6%,"Black^, FATA, H4nn1, KuroKy, paS, qojqva"
7,6,Ukraine,6,6%,"ALWAYSWANNAFLY, Dendi, Funn1k, Mag~, Resolut1on, XBOCT"
8,9,South Korea,5,5%,"Forev, Heen, March, QO, Reisen"
9,10,Denmark,2,2%,"BigDaddy, MiSeRy"
11,11,Estonia,1,1%,Puppey
12,11,Finland,1,1%,Trixi
13,11,Israel,1,1%,Fly
14,11,Macau,1,1%,DDC
15,11,Netherlands,1,1%,SingSing
16,11,Romania,1,1%,bOne7
17,11,Singapore,1,1%,iceiceice
