,0,1,2
0,Place,Team,Prize Money
1,1,Evil Geniuses,"$6,634,661"
2,2,CDEC Gaming,"$2,856,590"
3,3,LGD Gaming,"$2,211,554"
4,4,Vici Gaming,"$1,566,517"
5,5,EHOME.cn,"$1,197,925"
6,5,Virtus.pro,"$1,197,925"
7,7,MVP Phoenix,"$829,333"
8,7,Team Secret,"$829,333"
9,9-12,Team Empire,"$221,155"
10,9-12,Cloud9,"$221,155"
11,9-12,compLexity Gaming,"$221,155"
12,9-12,Invictus Gaming,"$221,155"
13,13-16,Fnatic,"$55,289"
14,13-16,Natus Vincere,"$55,289"
15,13-16,Newbee,"$55,289"
16,13-16,MVP HOT6ix,"$55,289"
