,Place,Team,Prize money
0,1st,Team Liquid,"$10,862,683"
1,2nd,Newbee,"$3,950,067"
2,3rd,LGD.Forever Young,"$2,592,231"
3,4th,LGD Gaming,"$1,728,154"
4,5th/6th,Invictus Gaming,"$1,110,956"
5,5th/6th,Virtus.pro,"$1,110,956"
6,7th/8th,OG,"$617,198"
7,7th/8th,Team Empire,"$617,198"
8,9th–12th,Digital Chaos,"$370,319"
9,9th–12th,Evil Geniuses,"$370,319"
10,9th–12th,Team Secret,"$370,319"
11,9th–12th,TNC Pro Team,"$370,319"
12,13th–16th,Cloud9,"$123,440"
13,13th–16th,Execration,"$123,440"
14,13th–16th,iG Vitality,"$123,440"
15,13th–16th,Infamous,"$123,440"
16,17th–18th,Fnatic,"$61,720"
17,17th–18th,HellRaisers,"$61,720"
