,Place,Prize Money,Team
0,1,"$11,190,158 ",OG
1,2,"$4,069,148 ",PSG.LGD
2,3,"$2,670,379 ",Evil Geniuses
3,4,"$1,780,252 ",Team Liquid
4,5,"$1,144,448 ",Team Secret
5,6,"$1,144,448 ",Virtus.pro
6,7,"$635,804 ",OpTic Gaming
7,8,"$635,804 ",VGJ.Storm
8,9,"$381,483 ",Mineski
9,10,"$381,483 ",Team Serenity
10,11,"$381,483 ",Vici Gaming
11,12,"$381,483 ",Winstrike Team
12,13,"$127,161 ",Fnatic
13,14,"$127,161 ",Newbee
14,15,"$127,161 ",TNC Predator
15,16,"$127,161 ",VGJ.Thunder
16,17,"$63,580 ",Invictus Gaming
17,18,"$63,580 ",paiN Gaming
