,Place,Team,Prize money (USD)
0,1st,OG,"$11,190,158"
1,2nd,PSG.LGD,"$4,069,148"
2,3rd,Evil Geniuses,"$2,670,379"
3,4th,Team Liquid,"$1,780,252"
4,5th–6th,Team Secret,"$1,144,448"
5,5th–6th,Virtus.pro,"$1,144,448"
6,7th–8th,OpTic Gaming,"$635,804"
7,7th–8th,VGJ.Storm,"$635,804"
8,9th–12th,Mineski,"$381,483"
9,9th–12th,Team Serenity,"$381,483"
10,9th–12th,Vici Gaming,"$381,483"
11,9th–12th,Winstrike Team,"$381,483"
12,13th–16th,Fnatic,"$127,161"
13,13th–16th,Newbee,"$127,161"
14,13th–16th,TNC Predator,"$127,161"
15,13th–16th,VGJ.Thunder,"$127,161"
16,17th–18th,Invictus Gaming,"$63,580"
17,17th–18th,paiN Gaming,"$63,580"
