,rank,Country or Region,Representation,Percentage,Players
0,1,China,22,24%,"Ame, Borax, Dy, Emo, Eurus, Faith_bian, flyfly, fy, Kaka, LaNm, Monet, old eLeVeN, Ori, poyoyo, Pyw, Somnus丶M, Super, White丶Album_白学家, XinQ, Xxs, y`, Yang"
1,2,Peru,10,11%,"Chris Luck, Frank, K1, Leostyle-, Mjz, Mnz, MoOz, Scofield, Stinger, Timado"
2,3,Russia,7,8%,"Collapse, DM, gpk, Kingslayer, Miposhka, Nightfall, TORONTOTOKYO"
3,4,Brazil,6,7%,"4dr, Costabile, KJ, Lelis, Tavo, Thiolicor"
4,5,Philippines,5,6%,"Abed, DJ, Karl, Kuku, Raven"
5,6,Malaysia,4,4%,"ChYuan, JT-, NothingToSay, Oli"
6,6,Sweden,4,4%,"Handsken, LIMMP, s4, zai"
7,6,United States,4,4%,"MSS, Quinn, SVG, YawaR"
8,9,Canada,3,3%,"Arteezy, Bryle, MoonMeander"
9,10,Denmark,2,2%,"Cr1t-, N0tail"
10,10,Finland,2,2%,"MATUMBAMAN, Topson"
11,10,Indonesia,2,2%,"Whitemon, Xepher"
12,10,Singapore,2,2%,"Deth, iceiceice"
13,10,Thailand,2,2%,"23savage, Jabz"
14,10,Ukraine,2,2%,"Mira, Yatoro"
15,16,Belarus,1,1%,fng
16,16,Bolivia,1,1%,Wisper
17,16,Bulgaria,1,1%,Nikobaby
18,16,Czechia,1,1%,SabeRLight-
19,16,Estonia,1,1%,Puppey
20,16,France,1,1%,Ceb
21,16,Israel,1,1%,Fly
22,16,Jordan,1,1%,YapzOr
23,16,Moldova,1,1%,Save-
24,16,North Macedonia,1,1%,Saksa
25,16,Pakistan,1,1%,SumaiL
26,16,Poland,1,1%,Nisha
27,16,South Korea,1,1%,Dubu
