,Place,Team,Prize money
0,1,Team Spirit,"$18,208,300 "
1,2,PSG.LGD,"$5,202,400 "
2,3,Team Secret,"$3,601,600 "
3,4,Invictus Gaming,"$2,401,100 "
4,5,Vici Gaming,"$1,400,600 "
5,6,Virtus.pro,"$1,400,600 "
6,7,OG,"$1,000,500 "
7,8,T1,"$1,000,500 "
8,9,Alliance,"$800,400 "
9,10,Evil Geniuses,"$800,400 "
10,11,Fnatic,"$800,400 "
11,12,Quincy Crew,"$800,400 "
12,13,Beastcoast,"$600,300 "
13,14,Elephant,"$600,300 "
14,15,Team Aster,"$600,300 "
15,16,Team Undying,"$600,300 "
16,17,SG esports,"$100,000 "
17,18,Thunder Predator,"$100,000 "
