,Place,Team,Prize Pool
0,1,Team Spirit,"$1,521,362 "
1,2,Gaimin Gladiators,"$405,637 "
2,3,LGD Gaming,"$270,499 "
3,4,Azure Ray,"$185,898 "
4,5,Team Liquid,"$109,925 "
5,6,BetBoom Team,"$109,925 "
6,7,nouns,"$84,489 "
7,8,Virtus.pro,"$84,489 "
8,9,TSM,"$67,569 "
9,10,9Pandas,"$67,569 "
10,11,Talon Esports,"$67,569 "
11,12,Entity,"$67,569 "
12,13,Shopify Rebellion,"$50,761 "
13,14,Evil Geniuses,"$50,761 "
14,15,Keyd Stars,"$50,761 "
15,16,Tundra Esports,"$50,761 "
16,17,Team SMG,"$33,840 "
17,18,Thunder Awaken,"$33,840 "
18,19,beastcoast,"$33,840 "
19,20,PSG Quest,"$33,840 "
