Country,TI 2011,Country,TI 2012,Country,TI 2013,Country,TI 2014,Country,TI 2015,Country,TI 2016,Country,TI 2017,Country,TI 2018,Country,TI 2019,Country,TI 2021,Country,TI 2022,Country,TI 2023,Country,TI 2024
China,19,China,23,China,23,China,24,China,27,China,21,China,22,China,27,China,18,China,22,Peru,13,Russia,19,Russia,17
Denmark,9,Russia,8,Malaysia,13,Malaysia,12,Ukraine,9,Sweden,8,Philippines,11,Philipines,8,Philippines,9,Peru,10,Russia,13,Peru,15,China,11
Russia,7,United States,7,United States,8,United States,10,South Korea,7,United States,6,Peru,5,United States,7,Sweden,6,Russia,7,China,12,China,9,Peru,7
France,5,Malaysia,6,Sweden,7,Sweden,9,Malaysia,6,Malaysia,5,Russia,5,Russia,6,Malaysia,5,Brazil,6,Philippines,8,Brazil,6,Malaysia,6
Malaysia,5,Ukraine,6,Germany,6,Russia,7,Russia,5,Philippines,5,South Korea,5,Brazil,4,Russia,5,Philippines,5,Germany,4,United States,5,Ukraine,4
Philippines,5,Australia,4,Russia,5,Canada,6,United States,5,South Korea,5,Ukraine,5,Malaysia,4,United States,5,Malaysia,4,Sweden,4,Malaysia,4,Brazil,3
Singapore,5,Canada,4,Canada,4,Germany,6,Canada,4,Denmark,4,Canada,4,Sweden,4,Denmark,4,Sweden,4,Ukraine,4,Sweden,4,Indonesia,3
Thailand,5,Singapore,4,Ukraine,4,Ukraine,6,Denmark,2,Germany,4,Malaysia,4,Ukraine,4,Germany,4,United States,4,United States,4,Ukraine,4,Sweden,3
Czechia,3,Sweden,4,Denmark,3,South Korea,5,Germany,2,Ukraine,4,United States,4,Denmark,3,Peru,4,Canada,3,Brazil,3,Belarus,3,Thailand,3
Germany,3,Denmark,3,Singapore,3,Denmark,2,Singapore,2,Canada,3,Germany,3,Finland,3,Finland,3,Denmark,2,Canada,3,Germany,3,United States,3
Ukraine,3,France,3,Estonia,1,Estonia,1,Sweden,2,Finland,2,Sweden,3,Australia,2,Israel,3,Finland,2,Indonesia,3,Philippines,3,Belarus,2
Slovakia,2,Germany,3,Finalnd,1,Finland,1,Australia,1,Jordan,2,Australia,2,Canada,2,Australia,2,Indonesia,2,Malaysia,3,Thailand,3,Denmark,2
Sweden,2,Netherlands,2,Israel,1,Israel,1,Belarus,1,Russia,2,Denmark,2,Germany,2,Bulgaria,2,Singapore,2,Thailand,3,Canada,2,Germany,2
United States,2,Croatia,1,Macau,1,Macau,1,Estonia,1,Australia,1,Finland,2,Israel,2,Jordan,2,Thailand,2,Czechia,2,Denmark,2,Israel,2
Canada,1,Estonia,1,,,Netherlands,1,Finland,1,Bulgaria,1,Israel,2,Jordan,2,Kyrgyzstan,2,Ukraine,2,Denmark,2,Indonesia,2,Belgium,1
Croatia,1,Macau,1,,,Romania,1,Israel,1,Estonia,1,Jordan,2,Bulgaria,1,Ukraine,2,Belarus,1,Israel,2,Israel,2,Finland,1
Estonia,1,,,,,Singapore,1,Macau,1,Israel,1,Belarus,1,Estonia,1,Bolivia,1,Bolivia,1,Netherlands,2,Kazakhstan,2,Jordan,1
Macau,1,,,,,,,Mexico,1,Macau,1,Bosnia and Herzegovia,1,France,1,Bosnia and Herzegovina,1,Bulgaria,1,Australia,1,Lebanon,2,Kazakhstan,1
Romania,1,,,,,,,Pakistand,1,North Macedonia,1,Bulgaria,1,Lebanon,1,Canada,1,Czechia,1,Austria,1,Austria,1,Moldova,1
,,,,,,,,Romania,1,Pakistan,1,Estonia,1,Macau,1,Estonia,1,Estonia,1,Belarus,1,Bolivia,1,Netherlands,1
,,,,,,,,,,Romania,1,Greece,1,Pakistan,1,France,1,France,1,Bolivia,1,Bulgaria,1,Nicaragua,1
,,,,,,,,,,Singapore,1,Lebanon,1,Romania,1,Lebanon,1,Israel,1,Bulgaria,1,Czechia,1,North Macedonia,1
,,,,,,,,,,,,Macau,1,Singapore,1,North Macedonia,1,Jordan,1,Estonia,1,Finland,1,Philippines,1
,,,,,,,,,,,,Pakistan,1,Thailand,1,Norway,1,Moldova,1,Finland,1,Moldova,1,Poland,1
,,,,,,,,,,,,Serbia,1,,,Pakistan,1,North Macedonia,1,Jordan,1,Netherlands,1,Singapore,1
,,,,,,,,,,,,,,,,Poland,1,Pakistan,1,Kyrgyzstan,1,Poland,1,Slovakia,1
,,,,,,,,,,,,,,,,Romania,1,Poland,1,Laos,1,Slovakia,1,,
,,,,,,,,,,,,,,,,Singapore,1,South Korea,1,North Macedonia,1,United Kingdom,1,,
,,,,,,,,,,,,,,,,South Korea,1,,,Norway,1,,,,
,,,,,,,,,,,,,,,,Thailand,1,,,Poland,1,,,,
,,,,,,,,,,,,,,,,,,,,Slovakia,1,,,,
,,,,,,,,,,,,,,,,,,,,South Korea,1,,,,
